date	close
21-Jan-14	4
22-Jan-14	3
23-Jan-14	1
24-Jan-14	3
25-Jan-14	3
26-Jan-14	3
27-Jan-14	2
28-Jan-14	5
29-Jan-14	3
30-Jan-14	2
31-Jan-14	1
01-Feb-14	3
03-Feb-14	7
04-Feb-14	5
05-Feb-14	5
06-Feb-14	3
07-Feb-14	3
08-Feb-14	4
09-Feb-14	8
10-Feb-14	3
11-Feb-14	3
12-Feb-14	2
14-Feb-14	2
15-Feb-14	2
16-Feb-14	5
17-Feb-14	7
18-Feb-14	7
20-Feb-14	4
21-Feb-14	3
22-Feb-14	2
23-Feb-14	5
24-Feb-14	6
25-Feb-14	6
26-Feb-14	8
27-Feb-14	3
28-Feb-14	7
01-Mar-14	4
02-Mar-14	5
03-Mar-14	6
04-Mar-14	4
05-Mar-14	1
06-Mar-14	4
07-Mar-14	1
08-Mar-14	1
09-Mar-14	4
10-Mar-14	5
11-Mar-14	4
12-Mar-14	2
14-Mar-14	2
15-Mar-14	3
17-Mar-14	6
18-Mar-14	3
19-Mar-14	7
20-Mar-14	3
21-Mar-14	2
22-Mar-14	4
24-Mar-14	1
25-Mar-14	4
26-Mar-14	2
27-Mar-14	4
28-Mar-14	6
29-Mar-14	2
30-Mar-14	5
31-Mar-14	6
01-Apr-14	3
02-Apr-14	3
03-Apr-14	4
04-Apr-14	2
05-Apr-14	3
06-Apr-14	1
07-Apr-14	2
08-Apr-14	8
09-Apr-14	3
10-Apr-14	2
12-Apr-14	2
13-Apr-14	2
14-Apr-14	7
15-Apr-14	4
16-Apr-14	3
17-Apr-14	1
18-Apr-14	2
19-Apr-14	2
20-Apr-14	6
21-Apr-14	7
22-Apr-14	2
23-Apr-14	7
25-Apr-14	4
26-Apr-14	4
27-Apr-14	3
28-Apr-14	4
29-Apr-14	2
30-Apr-14	3
01-May-14	1
03-May-14	2
04-May-14	2
05-May-14	3
06-May-14	3
07-May-14	3
09-May-14	3
10-May-14	3
11-May-14	1
12-May-14	6
13-May-14	4
14-May-14	5
15-May-14	2
16-May-14	1
17-May-14	2
18-May-14	2
19-May-14	3
20-May-14	5
21-May-14	1
22-May-14	2
23-May-14	5
24-May-14	1
25-May-14	2
26-May-14	4
27-May-14	2
